Company,Name,Phone,Website,City,Category
Foree Remittance,Faizan Rizvi,(416) 938-7902,foree.nanopay.net/,Toronto,Financial Services
Al-Jamil Auto Traders,Saifullah Jamil,(647) 649-3466,instagram.com/aljamilautotraders,Mississauga,Automotive
Insurance,Hammad Hadi,(647) 671-3295,http://thebig.ca/hammad,Milton,Insurance
Axil Alliance CPA LLP,Yousuf Mughal,(905) 206-1120,axilalliance.com,Mississauga,Accounting
FinTax Solutions Professional Corporation,Saad,(519) 567-4461,Fintaxprocorp.com,Windsor,Accounting
Pronancial Consulting,Usman Rahim,(647) 961-1327,usmanrahim@pronancial.ca,Burlington,Accounting
IH Chartered Professional Accountant,Ibtahaj Hashmi,(647) 564-9666,ihcpa.ca,Mississauga & Kitchener,Accounting
Halton Honda,Mubeen bin Hamid,(437) 343-8881,haltonhonda.com,Milton/Burlington,Automotive
Express Auto Solutions Inc,Shahid Mirza,(647) 226-1866,fb.com/share/16ZKvqEvzj/,Mississauga,Automotive
CROCFIT MENSWEAR,Fuzail Ahmed,(437) 244-6049,crocfitmenswear.com,Mississauga,Clothing & Apparel
Sadia's Fashion Studio,M Rehan Siddiqui,(647) 673-4070,instagram.com/sadiasfashionstudio/,Mississauga,Clothing & Apparel
AQ Reno,M Faisal,(437) 607-7781,,Mississauga,Construction
Vista Builders LTD,Salar Memon,(587) 974-4951,vistabuilders.ca,Mississauga,Construction
West End Construction,Syed Ali,(647) 701-4584,instagram.com/westendconstruction,Mississauga,Construction
WildVoie,Syed Hamza Shakil,(437) 860-9009,wildvoie.com,Oshawa,Electric Bikes & Tents
ZIMQHA Ecommerce and Digital Marketing Inc.,Maqsood Ahmed,(647) 450-1983,zimqha.com,Cambridge,Digital Marketing
Wiztec Sol.,Ahsan Khan,(204) 998-8598,wiztecsol.com,GTA & Richmond Hill,Digital Marketing
The Digital Cauldron,Haroon Jilani,(604) 861-4313,thedigitalcauldron.com,Vancouver,Digital Marketing
Danyal Effendi Marketing,M Danyal Effendi,(647) 917-7714,danyaleffendi.com,Milton,Digital Marketing
4bg.ai,Ghulam Murtaza Mehdi,(437) 886-6487 ext 3,4bg.ca,Milton,Digital Marketing
KiddyCoddy,Talha Hassan,(647) 510-2633,kiddycoddy.com,Mississauga,Education
Logic Builder Academy,Saad,(365) 228-2899,logicbuilderacademy.com/,Windsor,Education
DeZine By Hummi-Event Decor,Amjad Azeem,(416) 891-5070,Dezinebyhummi.com,GTA & Hamilton,Event Services
Zee's Event Essentials,Zeeshan Ahmed,(416) 409-8789,instagram.com/zeventessentials,GTA & Edmonton,Event Services
Chachu ki Biryani,Neveed Akhter,(647) 529-0786,fb.com/p/Chachu-ki-biryani-61550671071290,Mississauga,Food & Beverage
Ashu's Kitchenette,Nauman Zia,(365) 338-1970,fb.com/ashuskitchenette,Mississauga,Food & Beverage
Chicken World,Dabeer,(236) 668-2955,chickenworldcanada.com,Vancouver,Food & Beverage
Kababistan BBQ,Syed Farrukh,(437) 228-5814,instagram.com/kababistanbbq,GTA,Food & Beverage
Makki Heating And Air Conditioning,Hafiz Asif,(416) 804-9911,makkihvac.ca,Brampton,HVAC
Blue Mist Air Solutions,Umair Muhammad,(647) 917-8722,linkedin.com/in/umair-muhammad-34070a232/,Scarborough,HVAC
Hawk Home Services,Talha Mahmood,(705) 977-4744,hawkhomeservices.ca,Scarborough,HVAC
SMSA Photography & Films,Shoaib Akhter,(365) 324-1913,smsaphotography.com,Toronto,Photography
Chaar Bhai Inc.,Saad,(647) 510-2444,chaarbhai.com,Mississauga,Photography
Real Estate,Mahad Ul Haq,(647) 937-2686,realtor.ca/agent/2186026/muhammad-mahad-ul-haq,Mississauga,Real Estate
Findtorontohomes,Abdul Haseeb,(289) 242-7758,findtorontohomes.ca,Oakville,Real Estate
Plaxo Realty Inc.,Akhtar Shaikh,(647) 409-3341,plaxorealty.ca,Cambridge,Real Estate
Re/Max Agent,Ahsan Zafar,(416) 580-9019,fb.com/aztorontorealtor/,Scarborough,Real Estate
Hassanansari.realestate,Hassan,(647) 568-3666,hassanansari.c21.ca,Milton,Real Estate
Fazal Khan Real Estate,Fazal Khan,(647) 774-3330,FAZALKHAN.ca,Mississauga,Real Estate
Venture Capital Group,M Mahad Ul Haq,(647) 937-2686,linkedin.com/company/venturecapitalgroup,Brampton,Real Estate
Capital Finance,Mahad ul Haq,(647) 937-2686,fb.com/CapitalFinance786/,Mississauga,Real Estate
Bell-Roger Packages,Saad bhai,(519) 992-8416,,Toronto,Telecommunications
YourInsuranceBroker,Raheel Shamim,(416) 388-7565,raheel@yourinsurancebroker.ca,GTA (ON & AB & NS),Insurance
Muhammad Ali Insurance Broker,M Ali,(437) 972-7578,instagram.com/ali_insurancebroker,Toronto,Insurance
